Acc_x	Acc_y	Acc_z	Time	Total secs	
0.187988	-0.562988	1.84399	04:04:01.960	14641	
0.530762	-0.187988	1.68799	04:04:02.000	14642	
0.512939	-0.0808105	1.08887	04:04:02.040	14642	
0.0749512	0.22876	0.260986	04:04:02.080	14642	
0.233887	0.283936	0.866943	04:04:02.120	14642	
0.358887	-0.180908	1.60889	04:04:02.160	14642	
0.399902	-0.105957	0.824951	04:04:02.200	14642	
0.197998	0.553955	0.172852	04:04:02.240	14642	
0.0839844	-0.0739746	0.919922	04:04:02.280	14642	
0.258789	-0.0739746	1.50781	04:04:02.320	14642	
0.320801	0.35376	1.26294	04:04:02.360	14642	
0.155762	0.0307617	0.449951	04:04:02.400	14642	
-0.0178223	0.0749512	0.528809	04:04:02.440	14642	
0.209961	0.0998535	1.20386	04:04:02.480	14642	
0.339844	-0.159912	1.15479	04:04:02.520	14642	
0.109863	0.134766	0.24292	04:04:02.560	14642	
0.0939941	0.362793	0.312988	04:04:02.600	14642	
0.375977	-0.10791	1.22485	04:04:02.640	14642	
0.393799	-0.109863	1.37183	04:04:02.680	14642	
0.0507812	0.359863	0.358887	04:04:02.720	14642	
0.079834	-0.0698242	0.189941	04:04:02.760	14642	
0.125	-0.174805	1.72583	04:04:02.800	14642	
0.387939	0.210938	2.14697	04:04:02.840	14642	
0.244873	0.418945	0.285889	04:04:02.879	14642	
0.0178223	0.0349121	0.0888672	04:04:02.920	14642	
0.375	-0.530762	1.28198	04:04:02.960	14642	
0.312988	-0.155762	2.25098	04:04:03.000	14643	
-0.218994	-0.593994	0.5	04:04:03.040	14643	
0.0307617	-0.187988	0.343994	04:04:03.080	14643	
0.655762	0.280762	0.843994	04:04:03.120	14643	
0.343994	0.187988	2.06299	04:04:03.160	14643	
0.218994	-0.5	0.968994	04:04:03.200	14643	
0.0939941	0.530762	0.312988	04:04:03.240	14643	
0.405762	0.405762	0.906982	04:04:03.280	14643	
0.405762	-0.218994	1.87598	04:04:03.320	14643	
0.187988	0.155762	1.34399	04:04:03.360	14643	
0.125	0.562988	-0.0307617	04:04:03.400	14643	
0.187988	-0.0307617	0.25	04:04:03.440	14643	
0.625	-0.437988	2.00098	04:04:03.480	14643	
0.405762	0.468994	1.5	04:04:03.520	14643	
0.25	0.5	-0.187988	04:04:03.560	14643	
0	-0.0307617	0.530762	04:04:03.600	14643	
0.405762	-0.343994	1.90698	04:04:03.640	14643	
0.375	0.5	1.84399	04:04:03.680	14643	
0.0307617	0.0629883	0	04:04:03.720	14643	
-0.187988	-0.312988	0.312988	04:04:03.760	14643	
0.312988	-0.0939941	1.09399	04:04:03.800	14643	
0.593994	0.468994	2.06299	04:04:03.840	14643	
0.0307617	-0.218994	0.625	04:04:03.879	14643	
0.0307617	-0.0307617	0.25	04:04:03.920	14643	
0.343994	0	1.18799	04:04:03.960	14643	
0.625	-0.0939941	1.59399	04:04:04.000	14644	
0.182861	-0.219971	0.901855	04:04:04.040	14644	
0.0849609	0.48291	0.0559082	04:04:04.080	14644	
0.35498	0.224854	0.523926	04:04:04.120	14644	
0.422852	-0.182861	1.77881	04:04:04.160	14644	
0.324951	-0.0808105	1.16895	04:04:04.200	14644	
0.219971	0.210938	0.160889	04:04:04.240	14644	
0.22998	0.0388184	0.786865	04:04:04.280	14644	
0.459961	-0.0539551	1.8938	04:04:04.320	14644	
0.194824	0.404785	1.32495	04:04:04.360	14644	
-0.125	0.0249023	0.174805	04:04:04.400	14644	
0.24585	-0.152832	0.799805	04:04:04.440	14644	
0.568848	0.12793	1.78589	04:04:04.480	14644	
0.129883	0.143799	1.10278	04:04:04.520	14644	
-0.10791	-0.173828	0.274902	04:04:04.559	14644	
-0.224854	-0.0378418	0.699951	04:04:04.600	14644	
0.467773	0.2229	1.61792	04:04:04.640	14644	
0.565918	-0.218994	0.809814	04:04:04.680	14644	
0.0688477	-0.153809	0.159912	04:04:04.719	14644	
-0.0148926	0.0878906	0.694824	04:04:04.760	14644	
0.699951	0.0749512	1.57593	04:04:04.800	14644	
0.690918	-0.0688477	1.56689	04:04:04.840	14644	
0.0788574	0.455811	0.0739746	04:04:04.879	14644	
0.258789	0.128906	0.650879	04:04:04.920	14644	
0.655762	-0.187988	2.00098	04:04:04.960	14644	
0.562988	0.0939941	1.93799	04:04:05.000	14645	
-0.0307617	0.437988	0	04:04:05.040	14645	
0.437988	-0.0307617	0.343994	04:04:05.080	14645	
0.5	-0.312988	2.03198	04:04:05.120	14645	
0.593994	0.562988	2.15698	04:04:05.160	14645	
-0.125	-0.0629883	0.125	04:04:05.200	14645	
0.375	-0.218994	0.5	04:04:05.240	14645	
0.906982	-0.0629883	2.15698	04:04:05.280	14645	
0.5	0.718994	2.46997	04:04:05.320	14645	
-0.187988	-0.155762	0.25	04:04:05.360	14645	
0.0629883	-0.155762	0.468994	04:04:05.400	14645	
0.468994	0	0.812988	04:04:05.440	14645	
0.0939941	0.468994	2.03198	04:04:05.480	14645	
-0.25	-0.0939941	0.0939941	04:04:05.520	14645	
0.155762	-0.0939941	0.125	04:04:05.559	14645	
0.968994	0.155762	0.625	04:04:05.600	14645	
-0.155762	0.312988	1.93799	04:04:05.640	14645	
0	-0.405762	0.781982	04:04:05.680	14645	
0.125	0.280762	0.0307617	04:04:05.719	14645	
0.218994	0.280762	0.468994	04:04:05.760	14645	
-0.0629883	-0.375	1.53198	04:04:05.800	14645	
0.25	0.0939941	1.43799	04:04:05.840	14645	
0.155762	0.187988	-0.0307617	04:04:05.879	14645	
